@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last

@attribute age {jeune,age-moyen,vieux}
@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {salaire-petit,salaire-moyen,salaire-grand}
@attribute married {YES,NO}
@attribute children {0,1,2,3}
@attribute car {YES,NO}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
jeune,MALE,INNER_CITY,salaire-petit,YES,?,NO,?,?,YES,YES
age-moyen,FEMALE,SUBURBAN,salaire-moyen,YES,0,NO,YES,?,NO,NO
vieux,MALE,?,salaire-grand,?,0,YES,?,NO,?,YES
vieux,MALE,INNER_CITY,?,YES,0,YES,YES,YES,NO,NO
vieux,FEMALE,INNER_CITY,salaire-petit,?,0,NO,YES,YES,NO,NO
jeune,MALE,?,salaire-petit,YES,?,YES,?,YES,NO,NO
?,FEMALE,?,salaire-moyen,YES,0,NO,?,YES,NO,YES
?,MALE,RURAL,?,YES,0,YES,YES,?,YES,NO
vieux,FEMALE,INNER_CITY,salaire-grand,YES,0,NO,?,NO,NO,NO
vieux,?,INNER_CITY,salaire-moyen,YES,?,?,?,?,YES,NO
?,FEMALE,?,?,NO,0,?,NO,YES,NO,YES
jeune,?,INNER_CITY,salaire-moyen,NO,0,YES,NO,YES,?,YES
age-moyen,?,?,salaire-moyen,YES,0,NO,YES,YES,YES,NO
vieux,FEMALE,RURAL,salaire-moyen,NO,0,NO,YES,YES,YES,NO
age-moyen,MALE,TOWN,?,NO,0,YES,YES,?,NO,YES
age-moyen,FEMALE,SUBURBAN,salaire-moyen,YES,?,YES,?,YES,YES,YES
vieux,FEMALE,RURAL,salaire-grand,?,1,NO,YES,YES,YES,YES
age-moyen,?,SUBURBAN,salaire-petit,YES,?,NO,NO,?,?,NO
?,MALE,RURAL,salaire-petit,NO,0,NO,?,YES,NO,YES
vieux,FEMALE,?,salaire-moyen,?,2,YES,NO,YES,NO,NO
vieux,FEMALE,INNER_CITY,salaire-petit,YES,0,YES,YES,?,NO,YES
vieux,FEMALE,TOWN,salaire-grand,?,1,YES,YES,YES,NO,YES
vieux,?,TOWN,salaire-petit,YES,2,NO,YES,YES,?,NO
vieux,MALE,TOWN,salaire-moyen,YES,1,NO,NO,?,NO,NO
jeune,FEMALE,TOWN,salaire-petit,YES,0,NO,YES,YES,NO,NO
vieux,FEMALE,TOWN,salaire-grand,YES,?,?,YES,NO,?,YES
jeune,MALE,INNER_CITY,?,YES,1,YES,YES,NO,NO,YES
vieux,?,INNER_CITY,salaire-moyen,?,?,YES,NO,YES,NO,YES
?,MALE,?,salaire-grand,YES,0,YES,?,YES,YES,NO
jeune,MALE,TOWN,salaire-petit,YES,0,NO,?,YES,YES,NO
?,MALE,?,salaire-moyen,YES,2,?,YES,NO,YES,NO
vieux,MALE,INNER_CITY,salaire-grand,?,0,NO,YES,YES,NO,NO
age-moyen,FEMALE,INNER_CITY,salaire-moyen,NO,1,NO,YES,YES,NO,YES
jeune,?,INNER_CITY,salaire-petit,NO,0,NO,NO,NO,NO,YES
vieux,FEMALE,?,salaire-moyen,YES,0,NO,NO,YES,NO,NO
vieux,FEMALE,SUBURBAN,?,YES,?,NO,YES,YES,NO,YES
age-moyen,MALE,INNER_CITY,?,?,0,YES,YES,YES,?,NO
vieux,FEMALE,TOWN,salaire-moyen,NO,0,NO,?,?,?,YES
age-moyen,MALE,INNER_CITY,salaire-moyen,NO,1,NO,NO,YES,NO,NO
jeune,MALE,SUBURBAN,salaire-petit,YES,0,NO,NO,YES,YES,YES
jeune,FEMALE,INNER_CITY,salaire-petit,YES,2,NO,NO,YES,NO,NO
vieux,FEMALE,TOWN,salaire-moyen,?,0,YES,YES,YES,NO,YES
?,FEMALE,INNER_CITY,?,YES,?,YES,YES,YES,NO,NO
jeune,MALE,INNER_CITY,salaire-petit,?,?,NO,NO,YES,?,NO
age-moyen,FEMALE,?,salaire-moyen,?,0,YES,?,YES,NO,YES
age-moyen,FEMALE,TOWN,salaire-moyen,?,0,NO,NO,YES,NO,NO
?,FEMALE,?,salaire-moyen,NO,?,YES,NO,YES,YES,NO
age-moyen,?,INNER_CITY,salaire-petit,NO,0,NO,NO,YES,NO,NO
vieux,MALE,INNER_CITY,salaire-moyen,NO,0,YES,NO,NO,NO,YES
jeune,MALE,INNER_CITY,salaire-petit,NO,?,?,?,YES,NO,YES
age-moyen,FEMALE,INNER_CITY,salaire-petit,?,0,NO,YES,NO,NO,NO
vieux,FEMALE,?,salaire-grand,?,?,NO,YES,?,NO,NO
?,MALE,TOWN,salaire-petit,?,?,YES,?,YES,?,YES
vieux,FEMALE,TOWN,salaire-moyen,YES,2,?,YES,?,NO,NO
?,FEMALE,?,salaire-petit,YES,1,YES,YES,NO,?,NO
?,FEMALE,SUBURBAN,salaire-moyen,?,0,YES,NO,NO,YES,YES
vieux,FEMALE,TOWN,salaire-petit,YES,?,YES,NO,NO,YES,NO
age-moyen,MALE,RURAL,salaire-moyen,YES,0,YES,YES,NO,NO,NO
age-moyen,MALE,INNER_CITY,?,YES,1,NO,YES,YES,NO,YES
vieux,FEMALE,INNER_CITY,salaire-grand,NO,?,NO,?,YES,NO,YES
age-moyen,MALE,TOWN,salaire-moyen,YES,0,?,YES,NO,YES,NO
?,FEMALE,RURAL,salaire-petit,NO,0,NO,NO,YES,YES,YES
jeune,MALE,RURAL,salaire-petit,NO,2,YES,NO,NO,YES,NO
age-moyen,?,INNER_CITY,salaire-moyen,YES,0,YES,NO,YES,NO,NO
age-moyen,MALE,?,salaire-petit,NO,0,NO,NO,NO,YES,YES
jeune,FEMALE,?,salaire-petit,YES,?,NO,?,YES,NO,YES
age-moyen,MALE,SUBURBAN,salaire-moyen,YES,2,?,YES,YES,NO,YES
vieux,MALE,SUBURBAN,salaire-grand,NO,0,?,?,YES,NO,YES
jeune,MALE,SUBURBAN,salaire-petit,NO,0,NO,YES,YES,?,YES
age-moyen,?,SUBURBAN,salaire-petit,YES,0,YES,?,NO,?,YES
jeune,MALE,SUBURBAN,salaire-petit,YES,1,NO,YES,NO,NO,NO
jeune,FEMALE,INNER_CITY,salaire-petit,NO,0,?,?,?,?,YES
jeune,MALE,INNER_CITY,salaire-petit,NO,?,YES,YES,?,YES,NO
vieux,FEMALE,INNER_CITY,salaire-grand,?,?,?,YES,YES,NO,YES
jeune,?,INNER_CITY,salaire-petit,YES,0,YES,NO,YES,NO,YES
vieux,FEMALE,?,salaire-grand,YES,0,NO,YES,YES,NO,NO
jeune,MALE,?,salaire-petit,YES,0,NO,?,YES,YES,NO
age-moyen,MALE,INNER_CITY,?,NO,?,?,YES,NO,YES,NO
jeune,MALE,RURAL,salaire-petit,YES,0,YES,NO,NO,NO,YES
jeune,?,TOWN,salaire-moyen,?,?,YES,YES,?,NO,YES
vieux,MALE,TOWN,?,?,?,?,YES,?,YES,NO
vieux,?,?,?,YES,?,?,YES,YES,?,NO
age-moyen,MALE,INNER_CITY,?,NO,0,NO,YES,NO,?,YES
?,MALE,INNER_CITY,salaire-petit,?,0,YES,NO,?,NO,NO
?,FEMALE,INNER_CITY,salaire-grand,?,0,YES,YES,?,?,NO
jeune,MALE,TOWN,?,?,0,YES,?,?,NO,YES
age-moyen,FEMALE,RURAL,?,YES,?,NO,YES,YES,NO,NO
vieux,?,TOWN,salaire-moyen,YES,2,NO,YES,NO,NO,NO
vieux,FEMALE,?,salaire-moyen,YES,1,?,NO,NO,?,YES
jeune,FEMALE,INNER_CITY,salaire-petit,YES,0,?,?,?,?,YES
?,MALE,RURAL,?,NO,1,?,YES,?,YES,NO
age-moyen,MALE,TOWN,salaire-moyen,?,0,NO,YES,NO,?,NO
vieux,FEMALE,TOWN,salaire-grand,YES,0,YES,YES,?,?,YES
?,MALE,?,salaire-petit,NO,0,YES,YES,?,YES,NO
age-moyen,FEMALE,RURAL,salaire-moyen,YES,0,NO,NO,?,?,YES
age-moyen,MALE,INNER_CITY,salaire-petit,?,0,YES,?,NO,?,NO
jeune,MALE,TOWN,?,?,1,YES,YES,YES,YES,NO
age-moyen,MALE,INNER_CITY,?,YES,0,YES,NO,NO,YES,YES
vieux,FEMALE,INNER_CITY,salaire-moyen,NO,?,YES,YES,NO,YES,YES
jeune,FEMALE,SUBURBAN,?,YES,0,NO,NO,?,?,NO
jeune,?,?,salaire-petit,?,?,YES,NO,?,NO,NO
age-moyen,MALE,INNER_CITY,?,YES,0,NO,YES,NO,YES,YES
age-moyen,MALE,?,?,YES,?,YES,YES,YES,NO,NO
age-moyen,FEMALE,RURAL,salaire-moyen,YES,0,?,YES,YES,NO,NO
age-moyen,MALE,TOWN,?,NO,0,YES,NO,?,?,YES
jeune,FEMALE,?,salaire-petit,?,0,NO,?,?,NO,YES
age-moyen,?,RURAL,salaire-moyen,YES,?,?,YES,YES,NO,NO
vieux,FEMALE,TOWN,?,YES,0,NO,YES,?,NO,NO
age-moyen,FEMALE,TOWN,salaire-moyen,YES,1,NO,NO,YES,NO,YES
vieux,MALE,RURAL,salaire-grand,?,?,YES,YES,?,NO,YES
age-moyen,FEMALE,?,salaire-moyen,NO,?,?,?,YES,NO,YES
age-moyen,MALE,INNER_CITY,?,YES,2,YES,NO,NO,?,NO
age-moyen,MALE,TOWN,salaire-moyen,NO,0,YES,YES,NO,YES,NO
vieux,FEMALE,INNER_CITY,salaire-moyen,NO,0,?,NO,?,NO,YES
vieux,FEMALE,RURAL,salaire-grand,NO,0,YES,YES,YES,YES,NO
jeune,MALE,INNER_CITY,salaire-petit,NO,0,NO,YES,YES,YES,NO
jeune,?,?,salaire-petit,?,0,YES,?,YES,NO,NO
jeune,FEMALE,?,?,YES,0,YES,YES,?,YES,NO
?,FEMALE,INNER_CITY,salaire-grand,YES,?,NO,YES,?,NO,NO
jeune,MALE,SUBURBAN,?,NO,0,NO,?,YES,?,NO
vieux,?,TOWN,salaire-grand,YES,?,?,YES,YES,NO,YES
age-moyen,MALE,INNER_CITY,salaire-petit,YES,?,YES,NO,?,YES,YES
vieux,FEMALE,?,salaire-moyen,?,0,YES,YES,NO,YES,NO
jeune,?,INNER_CITY,salaire-petit,YES,0,YES,NO,YES,YES,YES
jeune,FEMALE,?,salaire-petit,YES,1,YES,NO,YES,NO,NO
jeune,MALE,TOWN,salaire-petit,NO,?,YES,YES,YES,NO,YES
vieux,FEMALE,TOWN,salaire-moyen,YES,1,YES,?,YES,YES,NO
age-moyen,MALE,INNER_CITY,salaire-petit,YES,0,NO,NO,YES,NO,NO
jeune,FEMALE,?,salaire-petit,NO,2,NO,YES,YES,NO,YES
age-moyen,MALE,SUBURBAN,salaire-petit,?,?,NO,NO,YES,?,YES
vieux,MALE,TOWN,salaire-moyen,?,2,YES,YES,YES,NO,NO
vieux,?,INNER_CITY,?,YES,0,NO,?,YES,?,NO
vieux,FEMALE,INNER_CITY,salaire-moyen,YES,0,YES,YES,YES,?,NO
vieux,MALE,INNER_CITY,salaire-petit,?,1,YES,?,NO,?,NO
age-moyen,FEMALE,TOWN,?,NO,0,NO,YES,YES,NO,YES
jeune,FEMALE,TOWN,salaire-petit,?,0,YES,YES,YES,YES,YES
jeune,FEMALE,TOWN,salaire-petit,YES,?,?,YES,YES,YES,NO
age-moyen,MALE,RURAL,salaire-moyen,?,0,NO,NO,YES,?,YES
age-moyen,?,INNER_CITY,salaire-moyen,YES,0,?,YES,?,YES,NO
age-moyen,MALE,TOWN,?,YES,?,NO,YES,YES,?,NO
?,MALE,?,salaire-moyen,?,0,YES,YES,YES,NO,YES
jeune,?,RURAL,salaire-petit,YES,1,NO,NO,YES,YES,NO
age-moyen,MALE,INNER_CITY,salaire-grand,NO,1,YES,YES,?,NO,YES
age-moyen,MALE,RURAL,?,?,0,?,YES,YES,YES,NO
jeune,?,?,salaire-petit,YES,0,YES,YES,?,NO,NO
jeune,FEMALE,INNER_CITY,salaire-petit,YES,0,YES,?,YES,NO,YES
vieux,FEMALE,INNER_CITY,salaire-grand,YES,0,YES,YES,YES,YES,NO
age-moyen,FEMALE,TOWN,?,YES,?,?,YES,NO,?,NO
jeune,MALE,?,salaire-petit,YES,0,NO,NO,YES,?,YES
jeune,FEMALE,TOWN,salaire-petit,YES,2,NO,YES,NO,NO,NO
jeune,MALE,?,?,YES,1,NO,?,NO,NO,YES
vieux,FEMALE,INNER_CITY,salaire-moyen,YES,0,YES,YES,NO,YES,YES
?,FEMALE,TOWN,salaire-petit,NO,0,YES,YES,YES,?,YES
vieux,?,TOWN,salaire-moyen,YES,0,?,YES,NO,YES,YES
vieux,?,INNER_CITY,?,NO,?,NO,YES,YES,NO,YES
age-moyen,FEMALE,RURAL,salaire-moyen,YES,?,?,?,?,NO,NO
?,MALE,INNER_CITY,salaire-moyen,YES,0,NO,NO,NO,YES,YES
age-moyen,MALE,TOWN,salaire-moyen,?,?,YES,YES,YES,?,YES
?,MALE,INNER_CITY,salaire-grand,NO,0,NO,YES,YES,?,YES
?,FEMALE,TOWN,salaire-grand,?,0,NO,YES,YES,YES,NO
age-moyen,FEMALE,?,?,YES,?,YES,NO,YES,NO,YES
age-moyen,FEMALE,INNER_CITY,salaire-moyen,YES,?,?,YES,?,NO,NO
vieux,?,INNER_CITY,salaire-moyen,NO,0,YES,NO,YES,NO,YES
jeune,FEMALE,?,?,YES,0,YES,NO,NO,NO,NO
jeune,FEMALE,INNER_CITY,?,?,0,YES,YES,?,YES,NO
?,FEMALE,INNER_CITY,salaire-grand,?,0,?,YES,YES,?,YES
?,FEMALE,?,salaire-moyen,YES,?,YES,YES,YES,NO,NO
vieux,FEMALE,INNER_CITY,?,YES,0,NO,NO,NO,YES,YES
?,?,?,salaire-petit,NO,0,YES,YES,?,?,YES
vieux,MALE,SUBURBAN,salaire-grand,NO,1,NO,YES,YES,YES,YES
jeune,FEMALE,?,?,YES,?,YES,?,YES,NO,YES
jeune,FEMALE,TOWN,salaire-petit,YES,0,?,YES,?,?,NO
age-moyen,MALE,?,?,YES,2,NO,YES,YES,?,NO
vieux,FEMALE,TOWN,salaire-grand,YES,?,YES,?,YES,YES,NO
jeune,FEMALE,RURAL,salaire-petit,NO,2,NO,YES,?,NO,NO
age-moyen,MALE,INNER_CITY,salaire-moyen,?,0,YES,?,?,NO,YES
age-moyen,FEMALE,INNER_CITY,salaire-petit,YES,0,NO,YES,YES,NO,YES
age-moyen,FEMALE,TOWN,salaire-petit,?,0,NO,YES,?,NO,YES
vieux,MALE,TOWN,salaire-moyen,YES,0,NO,YES,NO,YES,YES
jeune,FEMALE,?,salaire-petit,NO,2,?,NO,YES,?,NO
vieux,?,INNER_CITY,salaire-moyen,YES,2,YES,YES,?,YES,NO
age-moyen,?,INNER_CITY,salaire-petit,YES,1,YES,NO,YES,?,YES
age-moyen,?,TOWN,?,YES,1,YES,?,YES,NO,NO
?,?,SUBURBAN,salaire-petit,NO,2,?,YES,YES,YES,NO
jeune,FEMALE,TOWN,salaire-petit,YES,0,YES,?,NO,YES,NO
?,?,SUBURBAN,?,YES,0,YES,YES,YES,YES,YES
age-moyen,FEMALE,INNER_CITY,salaire-petit,YES,0,NO,NO,YES,NO,YES
jeune,MALE,INNER_CITY,salaire-petit,?,?,NO,YES,NO,YES,NO
jeune,FEMALE,TOWN,salaire-petit,NO,?,NO,?,YES,YES,NO
jeune,FEMALE,INNER_CITY,salaire-moyen,YES,1,?,NO,YES,NO,NO
vieux,MALE,RURAL,?,YES,0,?,YES,?,NO,NO
?,MALE,?,salaire-grand,YES,0,NO,YES,YES,NO,YES
age-moyen,FEMALE,?,salaire-moyen,NO,0,YES,NO,?,NO,YES
vieux,MALE,?,salaire-moyen,NO,0,NO,YES,YES,NO,YES
vieux,?,INNER_CITY,salaire-moyen,YES,0,YES,NO,YES,YES,YES
?,?,TOWN,?,?,0,YES,YES,YES,YES,NO
jeune,MALE,INNER_CITY,salaire-petit,YES,0,NO,NO,YES,?,NO
?,FEMALE,INNER_CITY,?,NO,0,NO,YES,YES,NO,YES
vieux,?,RURAL,salaire-grand,NO,1,NO,?,YES,NO,YES
?,FEMALE,INNER_CITY,salaire-moyen,YES,0,NO,YES,YES,NO,NO
?,MALE,INNER_CITY,salaire-petit,?,0,NO,YES,YES,YES,YES
age-moyen,FEMALE,INNER_CITY,salaire-petit,YES,0,YES,YES,NO,YES,YES
age-moyen,MALE,RURAL,salaire-moyen,YES,1,NO,YES,YES,?,YES
jeune,MALE,INNER_CITY,salaire-petit,YES,1,YES,YES,?,?,NO
vieux,MALE,?,salaire-grand,YES,0,YES,YES,NO,?,YES
age-moyen,MALE,RURAL,salaire-petit,?,0,YES,YES,?,NO,YES
?,MALE,INNER_CITY,salaire-moyen,NO,0,?,NO,?,YES,YES
jeune,FEMALE,INNER_CITY,salaire-petit,NO,0,YES,?,NO,YES,YES
jeune,MALE,SUBURBAN,salaire-petit,YES,1,YES,YES,YES,?,NO
age-moyen,MALE,RURAL,salaire-petit,YES,0,?,YES,YES,NO,YES
vieux,FEMALE,TOWN,salaire-grand,YES,0,YES,YES,YES,YES,YES
jeune,FEMALE,INNER_CITY,salaire-petit,YES,0,YES,NO,YES,NO,NO
vieux,MALE,SUBURBAN,salaire-moyen,YES,2,NO,NO,NO,?,NO
age-moyen,MALE,INNER_CITY,salaire-moyen,YES,?,YES,YES,YES,NO,NO
age-moyen,FEMALE,SUBURBAN,salaire-moyen,YES,0,YES,?,NO,YES,NO
?,FEMALE,INNER_CITY,salaire-moyen,YES,2,YES,YES,YES,NO,NO
jeune,FEMALE,TOWN,salaire-petit,YES,1,?,?,YES,NO,NO
age-moyen,?,?,salaire-petit,YES,0,YES,YES,YES,YES,YES
age-moyen,MALE,?,salaire-moyen,YES,0,NO,?,YES,NO,NO
age-moyen,FEMALE,SUBURBAN,salaire-moyen,YES,?,NO,YES,YES,NO,NO
?,FEMALE,?,salaire-moyen,YES,0,NO,NO,YES,?,YES
age-moyen,?,?,salaire-petit,NO,0,NO,YES,YES,NO,YES
?,FEMALE,SUBURBAN,salaire-petit,NO,0,NO,NO,YES,YES,YES
vieux,FEMALE,RURAL,salaire-grand,YES,0,NO,?,YES,NO,NO
?,FEMALE,INNER_CITY,?,NO,0,NO,NO,YES,YES,YES
age-moyen,MALE,SUBURBAN,salaire-petit,YES,0,YES,NO,?,YES,YES
jeune,MALE,TOWN,salaire-moyen,?,0,YES,YES,NO,NO,NO
?,?,TOWN,salaire-petit,YES,0,NO,NO,YES,YES,NO
jeune,FEMALE,INNER_CITY,?,YES,1,YES,YES,?,NO,NO
age-moyen,FEMALE,TOWN,salaire-moyen,YES,0,YES,YES,YES,NO,NO
age-moyen,MALE,INNER_CITY,salaire-petit,NO,0,YES,?,?,YES,YES
age-moyen,?,RURAL,salaire-moyen,NO,2,YES,NO,YES,NO,NO
age-moyen,?,INNER_CITY,salaire-moyen,YES,0,?,NO,NO,?,NO
jeune,FEMALE,?,?,NO,?,NO,YES,YES,?,YES
age-moyen,MALE,?,salaire-petit,YES,?,YES,YES,YES,NO,NO
age-moyen,FEMALE,INNER_CITY,salaire-moyen,?,0,YES,?,?,NO,NO
age-moyen,MALE,TOWN,?,YES,0,NO,?,YES,YES,NO
jeune,?,TOWN,salaire-petit,?,0,YES,YES,YES,?,YES
vieux,MALE,TOWN,salaire-grand,YES,0,YES,YES,NO,?,YES
jeune,MALE,?,salaire-petit,NO,0,NO,YES,YES,YES,NO
age-moyen,?,TOWN,?,?,0,YES,NO,NO,NO,NO
vieux,MALE,SUBURBAN,salaire-grand,YES,1,YES,YES,NO,YES,YES
?,MALE,TOWN,salaire-petit,?,1,YES,NO,YES,YES,NO
age-moyen,FEMALE,TOWN,salaire-petit,NO,2,NO,YES,NO,NO,NO
?,FEMALE,RURAL,?,NO,1,YES,YES,YES,NO,NO
jeune,?,TOWN,salaire-petit,?,0,?,YES,YES,YES,YES
?,MALE,TOWN,salaire-petit,NO,2,YES,YES,YES,NO,NO
jeune,?,INNER_CITY,salaire-petit,YES,0,NO,?,YES,NO,YES
age-moyen,FEMALE,TOWN,salaire-moyen,NO,0,YES,YES,NO,NO,YES
vieux,MALE,RURAL,?,?,0,NO,YES,YES,NO,NO
?,MALE,?,salaire-petit,?,0,YES,YES,YES,NO,NO
jeune,?,INNER_CITY,salaire-petit,YES,?,NO,NO,NO,NO,NO
age-moyen,FEMALE,INNER_CITY,salaire-moyen,?,1,NO,YES,?,YES,YES
age-moyen,MALE,TOWN,salaire-petit,YES,?,NO,?,YES,?,NO
vieux,?,SUBURBAN,salaire-grand,YES,?,NO,?,?,NO,YES
vieux,FEMALE,?,salaire-moyen,YES,?,YES,?,YES,YES,NO
vieux,FEMALE,INNER_CITY,salaire-grand,?,1,YES,?,?,YES,NO
jeune,FEMALE,INNER_CITY,salaire-petit,YES,0,YES,YES,YES,?,NO
?,FEMALE,TOWN,salaire-petit,YES,0,YES,?,NO,NO,YES
jeune,MALE,INNER_CITY,salaire-petit,YES,0,?,YES,NO,YES,NO
?,?,?,salaire-moyen,NO,0,YES,NO,YES,YES,YES
